FID,API,API10,CompanyNam,County,Latitude,Longitude,Owner,OwnerName2,PermitDate,Township,WellName,WellNumber,WellStatus,meta_sourc,AltName_20,CompanyN_1,Vol_InDist,Vol_OutDis,AltName_21,CompanyN_2,Vol_InDi_1,Vol_OutD_1,AltName_22,CompanyN_3,Vol_InDi_2,Vol_OutD_2,AltName_23,CompanyN_4,Vol_InDi_3,Vol_OutD_3,AltName_24,CompanyN_5,Vol_InDi_4,Vol_OutD_4,AltName_25,CompanyN_6,Vol_InDi_5,Vol_OutD_5,AltName_26,CompanyN_7,Vol_InDi_6,Vol_OutD_6,AltName_27,CompanyN_8,Vol_InDi_7,Vol_OutD_7,AltName_28,CompanyN_9,Vol_InDi_8,Vol_OutD_8,AltName_29,Company_10,Vol_InDi_9,Vol_OutD_9,AltName_30,Company_11,Vol_InD_10,Vol_Out_10,AltName_31,Company_12,Vol_InD_11,Vol_Out_11,AltName_32,Company_13,Vol_InD_12,Vol_Out_12,AltName_33,Company_14,Vol_InD_13,Vol_Out_13,AltName_34,Company_15,Vol_InD_14,Vol_Out_14,AltName_35,Company_16,Vol_InD_15,Vol_Out_15,AltName_36,Company_17,Vol_InD_16,Vol_Out_16,AltName_37,Company_18,Vol_InD_17,Vol_Out_17,AltName_38,Company_19,Vol_InD_18,Vol_Out_18,AltName_39,Company_20,Vol_InD_19,Vol_Out_19,AltName_40,Company_21,Vol_InD_20,Vol_Out_20,AltName_41,Company_22,Vol_InD_21,Vol_Out_21,AltName_42,Company_23,Vol_InD_22,Vol_Out_22,AltName_43,Company_24,Vol_InD_23,Vol_Out_23,AltName_44,Company_25,Vol_InD_24,Vol_Out_24,AltName_45,Company_26,Vol_InD_25,Vol_Out_25,AltName_46,Company_27,Vol_InD_26,Vol_Out_26,AltName_47,Company_28,Vol_InD_27,Vol_Out_27,AltName_48,Company_29,Vol_InD_28,Vol_Out_28,AltName_49,Company_30,Vol_InD_29,Vol_Out_29,AltName_50,Company_31,Vol_InD_30,Vol_Out_30,AltName_51,Company_32,Vol_InD_31,Vol_Out_31,AltName_52,Company_33,Vol_InD_32,Vol_Out_32,AltName_53,Company_34,Vol_InD_33,Vol_Out_33,AltName_54,Company_35,Vol_InD_34,Vol_Out_34,AltName_55,Company_36,Vol_InD_35,Vol_Out_35,AltName_56,Company_37,Vol_InD_36,Vol_Out_36,AltName_57,Company_38,Vol_InD_37,Vol_Out_37,Total_In,Total_Out,Total
127,34200000000000,3415723690,Brine X LLC,TUSCARAWAS,40.48183015,-81.27472392,BRINE X LLC,.,.,WARREN,R.D. & M.K. GRIMM {SWIW#3}     1-D,.,AI,SWD-july2018,.,Danny Long & Sons,1124,0,.,Danny Long & Sons,1820,0,.,Danny Long & Sons,1271,0,.,Brine X LLC,7063,0,.,Brine X LLC,7445,0,.,Brine X LLC,14107,0,.,Brine X LLC,15338,0,.,Brine X LLC,12923,0,.,Brine X LLC,18240,0,.,Brine X LLC,19181,0,.,Brine X LLC,10040,0,.,Brine X LLC,11783,0,.,Brine X LLC,15960,0,.,Brine X LLC,26544,0,.,Brine X LLC,11386,0,.,Brine X LLC,16628,0,.,Brine X LLC,13922,0,.,Brine X LLC,16012,0,.,Brine X LLC,12956,0,.,Brine X LLC,13338,0,.,Brine X LLC,13209,0,.,Brine X LLC,13080,0,.,Brine X LLC,9600,0,.,Brine X LLC,11253,0,.,Brine X LLC,5413,0,.,Brine X LLC,2740,0,.,Brine X LLC,5248,0,.,Brine X LLC,1869,0,.,Brine X LLC,1606,0,.,Brine X LLC,2908,0,.,Brine X LLC,1836,0,.,Brine X LLC,3248,0,.,Brine X LLC,3336,0,.,Brine X LLC,3558,0,.,Brine X LLC,2308,0,.,Brine X LLC,2566,0,.,Brine X LLC,0,0,.,Brine X LLC,0,0,345750,0,345750
128,34000000000000,3401920790,Downright Brine Disposal LLC,CARROLL,40.48268086,-81.25187854,DOWNRIGHT BRINE DISPOSAL LLC,.,.,ORANGE,STEPHENSON {SWIW#2}     1-D,.,AI,SWD-july2018,.,Downright Brine Disposal LLC,13175,0,.,Downright Brine Disposal LLC,13102,0,.,Downright Brine Disposal LLC,13462,0,.,Downright Brine Disposal LLC,11032,0,.,Downright Brine Disposal LLC,15917,0,.,Downright Brine Disposal LLC,16526,0,.,Downright Brine Disposal LLC,14489,0,.,Downright Brine Disposal LLC,10627,0,.,Downright Brine Disposal LLC,13307,0,.,Downright Brine Disposal LLC,14576,0,.,Downright Brine Disposal LLC,11844,0,.,Downright Brine Disposal LLC,17571,0,.,Downright Brine Disposal LLC,15392,0,.,Downright Brine Disposal LLC,9459,0,.,Downright Brine Disposal LLC,12247,0,.,Downright Brine Disposal LLC,15248,0,.,Downright Brine Disposal LLC,14258,0,.,Downright Brine Disposal LLC,14183,0,.,Downright Brine Disposal LLC,10174,0,.,Downright Brine Disposal LLC,13299,0,.,Downright Brine Disposal LLC,11732,0,.,Downright Brine Disposal LLC,14077,0,.,Downright Brine Disposal LLC,10875,0,.,Downright Brine Disposal LLC,7449,0,.,Downright Brine Disposal LLC,10501,0,.,Downright Brine Disposal LLC,14056,0,.,Downright Brine Disposal LLC,12623,0,.,Downright Brine Disposal LLC,12334,0,.,Downright Brine Disposal LLC,9048,0,.,Downright Brine Disposal LLC,12747,0,.,Downright Brine Disposal LLC,6875,0,.,Downright Brine Disposal LLC,11674,0,.,Downright Brine Disposal LLC,12271,0,.,Downright Brine Disposal LLC,10956,0,.,Downright Brine Disposal LLC,7664,0,.,Downright Brine Disposal LLC,4691,0,.,Downright Brine Disposal LLC,0,0,.,Downright Brine Disposal LLC,0,0,471295,0,471295
129,34100000000000,3407524527,OOGC Disposal Co.,HOLMES,40.48461653,-81.99371394,OOGC DISPOSAL COMPANY 1 LLC,.,.,KILLBUCK,KILLBUCK DISPOSAL WELL {SWIW#4}     1,.,AI,SWD-july2018,.,OOGC Disposal Co.,23887,0,.,OOGC Disposal Co.,21719,0,.,OOGC Disposal Co.,19318,0,.,OOGC Disposal Co.,22955,0,.,OOGC Disposal Co.,25239,0,.,OOGC Disposal Co.,39252,0,.,OOGC Disposal Co.,25659,6600,.,OOGC Disposal Co.,16896,0,.,OOGC Disposal Co.,16094,0,.,OOGC Disposal Co.,23842,0,.,OOGC Disposal Co.,20271,0,.,OOGC Disposal Co.,13576,0,.,OOGC Disposal Co.,15935,0,CROSSTEX,OOGC Disposal Co.,39710,0,.,OOGC Disposal Co.,16674,0,.,OOGC Disposal Co.,32144,0,.,OOGC Disposal Co.,40912,14911,.,OOGC Disposal Co.,30806,5402,ENLINK,OOGC Disposal Co.,28360,14803,.,OOGC Disposal Co.,40086,13622,.,OOGC Disposal Co.,42730,6280,.,OOGC Disposal Co.,37386,0,.,OOGC Disposal Co.,28645,0,.,OOGC Disposal Co.,27480,0,.,OOGC Disposal Co.,15693,0,.,OOGC Disposal Co.,18397,0,.,OOGC Disposal Co.,15844,0,.,OOGC Disposal Co.,0,17148,.,OOGC Disposal Co.,13390,0,.,OOGC Disposal Co.,17255,0,.,OOGC Disposal Co.,13194,0,.,OOGC Disposal Co.,26873,0,.,OOGC Disposal Co.,34534,0,.,OOGC Disposal Co.,33424,0,.,OOGC Disposal Co.,0,20860,.,OOGC Disposal Co.,0,32736,.,OOGC Disposal Co.,0,0,.,OOGC Disposal Co.,0,0,888658,132362,1021019
130,34100000000000,3411723402,"Fishburn Producing, Inc.",MORROW,40.50823108,-82.86708374,FISHBURN PRODUCING INC,.,.,CARDINGTON,MOSHER J F (SWIW #44)     1,.,AI,SWD-july2018,.,"Fishburn Producing, Inc.",3815,0,.,"Fishburn Producing, Inc.",3062,0,.,"Fishburn Producing, Inc.",3220,0,.,"Fishburn Producing, Inc.",2308,0,.,"Fishburn Producing, Inc.",1042,0,.,"Fishburn Producing, Inc.",2041,0,.,"Fishburn Producing, Inc.",1505,0,.,"Fishburn Producing, Inc.",2104,0,.,"Fishburn Producing, Inc.",506,0,.,"Fishburn Producing, Inc.",1562,0,.,"Fishburn Producing, Inc.",1540,0,.,"Fishburn Producing, Inc.",1922,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,26711,0,26711
131,34100000000000,3411724222,Houghton Investments LLC,MORROW,40.52151104,-82.81364117,HOUGHTON INVESTMENTS LLC,.,.,GILEAD,E DUMBAUGH (SWIW # 64)     1,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,Houghton Investments LLC,3149,0,.,Houghton Investments LLC,9640,0,.,Houghton Investments LLC,16466,0,.,Houghton Investments LLC,12686,0,.,Houghton Investments LLC,18959,0,.,Houghton Investments LLC,24385,0,.,Houghton Investments LLC,24052,0,.,Houghton Investments LLC,24925,0,.,Houghton Investments LLC,14332,0,.,Houghton Investments LLC,15570,0,.,Houghton Investments LLC,16532,0,.,Houghton Investments LLC,16353,0,.,Houghton Investments LLC,14739,0,.,Houghton Investments LLC,10420,0,.,Houghton Investments LLC,10580,0,.,Houghton Investments LLC,13525,0,.,Houghton Investments LLC,5269,0,.,Houghton Investments LLC,8121,0,.,Houghton Investments LLC,10283,0,.,Houghton Investments LLC,12750,0,.,Houghton Investments LLC,9735,0,.,Houghton Investments LLC,8414,0,.,Houghton Investments LLC,0,0,.,Houghton Investments LLC,0,0,300885,0,300885
132,34100000000000,3411722260,M & R Investments,MORROW,40.52885967,-82.86178373,M & R INVESTMENTS OHIO LLC,.,.,GILEAD,SHAFFER & HOLZBACHER {SWIW#54}     1,.,AI,SWD-july2018,.,Deep Resources LLC,5710,0,.,Deep Resources LLC,8095,0,.,Deep Resources LLC,6680,0,.,Deep Resources LLC,4940,0,.,Deep Resources LLC,5485,0,.,Diversified Resources Ohio,2875,0,.,M & R Investments,0,0,.,M&R Investments,0,0,.,M&R Investments,0,0,.,M&R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,200,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,52,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,20,0,.,M & R Investments,0,0,.,M & R Investments,200,0,.,M & R Investments,250,0,.,M & R Investments,82,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,45559,0,45559
133,34000000000000,3401120103,"Innex Oil and Gas, Inc.",AUGLAIZE,40.54305331,-84.36096316,INNEX OIL AND GAS INC,.,2/9/2010 0:00,ST. MARYS,ELSHOFF (SWIW #1),2,.,ODNR Permit scrape,.,"Innex Oil and Gas, Inc.",43520,0,.,"Innex Oil and Gas, Inc.",15021,0,.,"Innex Oil and Gas, Inc.",31373,0,.,"Innex Oil and Gas, Inc.",4536,0,.,"Innex Oil and Gas, Inc.",10864,0,.,"Innex Oil and Gas, Inc.",7123,0,.,"Innex Oil and Gas, Inc.",6373,0,.,"Innex Oil and Gas, Inc.",0,0,.,"Innex Oil and Gas, Inc.",819,0,.,"Innex Oil and Gas, Inc.",29,0,.,"Innex Oil and Gas, Inc.",0,0,.,"Innex Oil and Gas, Inc.",0,0,.,"Innex Oil and Gas, Inc.",0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,141386,0,141386
134,0,3411720357,PT Services LLC,.,40.54579596,-82.82933822,.,.,.,.,.,.,.,No match,.,.,0,0,.,.,0,0,.,PT Services LLC,0,70,.,PT Services LLC,0,0,.,PT Services LLC,0,0,.,PT Services LLC,0,830,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,0,900,900
135,34100000000000,3411723414,"Fishburn Producing, Inc.",MORROW,40.54655146,-82.90649967,FISHBURN PRODUCING INC,.,.,CARDINGTON,CLINGER UNIT {SWIW #46}     1,.,AI,SWD-july2018,.,"Fishburn Producing, Inc.",14295,0,.,"Fishburn Producing, Inc.",9230,0,.,"Fishburn Producing, Inc.",5545,0,.,"Fishburn Producing, Inc.",5825,0,.,"Fishburn Producing, Inc.",4055,0,.,"Fishburn Producing, Inc.",5845,0,.,"Fishburn Producing, Inc.",5735,0,.,"Fishburn Producing, Inc.",4760,0,.,"Fishburn Producing, Inc.",5245,0,.,"Fishburn Producing, Inc.",5470,0,.,"Fishburn Producing, Inc.",6890,0,.,"Fishburn Producing, Inc.",790,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",10910,0,.,"Fishburn Producing, Inc.",7210,0,.,"Fishburn Producing, Inc.",9855,0,.,"Fishburn Producing, Inc.",7490,0,.,"Fishburn Producing, Inc.",6640,0,.,"Fishburn Producing, Inc.",3305,0,.,"Fishburn Producing, Inc.",3140,0,.,"Fishburn Producing, Inc.",1810,0,.,"Fishburn Producing, Inc.",2160,0,.,"Fishburn Producing, Inc.",1990,0,.,"Fishburn Producing, Inc.",4020,0,.,"Fishburn Producing, Inc.",3485,0,.,"Fishburn Producing, Inc.",3010,0,.,"Fishburn Producing, Inc.",3030,0,.,"Fishburn Producing, Inc.",3575,0,.,"Fishburn Producing, Inc.",4000,0,.,"Fishburn Producing, Inc.",2780,0,.,"Fishburn Producing, Inc.",1755,0,.,"Fishburn Producing, Inc.",1970,0,.,"Fishburn Producing, Inc.",1770,0,.,"Fishburn Producing, Inc.",2430,0,.,"Fishburn Producing, Inc.",130,0,.,"Fishburn Producing, Inc.",1435,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,169695,0,169695
136,34100000000000,3407524375,"Maram Energy, Inc.",HOLMES,40.5466678,-82.08662155,S & H WATER SERVICE,.,.,KNOX,HOWARD WYLES {SWIW#2}     1,.,AI,SWD-july2018,.,S & H Water Service,9851,0,.,S & H Water Service,9760,0,.,S & H Water Service,9824,0,.,S & H Water Service,10106,0,.,S & H Water Service,10240,0,.,S & H Water Service,10348,0,.,S & H Water Service,9570,0,.,S & H Water Service,9322,0,.,S & H Water Service,9196,0,.,S & H Water Service,8780,0,.,S & H Water Service,8456,0,.,S & H Water Service,8911,0,.,S & H Water Service,8673,0,.,S & H Water Service,8274,0,.,S & H Water Service,8291,0,.,S & H Water Service,8891,0,.,S & H Water Service,8598,0,.,S & H Water Service,7936,0,.,S & H Water Service,3266,0,.,S & H Water Service,2836,0,.,S & H Water Service,16852,0,.,S & H Water Service,17607,0,.,S & H Water Service,7993,0,.,S & H Water Service,7771,0,.,S & H Water Service,7642,0,.,S & H Water Service,8167,0,.,S & H Water Service,4815,0,.,S & H Water Service,4684,0,.,S & H Water Service,4419,0,.,S & H Water Service,5225,0,.,S & H Water Service,0,0,.,S & H Water Service,0,0,.,S & H Water Service,0,0,.,S & H Water Service,0,0,.,"Maram Energy, Inc.",365,0,.,"Maram Energy, Inc.",290,0,.,"Maram Energy, Inc.",0,0,.,"Maram Energy, Inc.",0,0,277439,0,277439
137,34100000000000,3411720239,Pettigrew Pumping Service,MORROW,40.55273502,-82.90284168,PETTIGREW PUMPING SERVICE INC,.,.,CARDINGTON,CLINGER(SWIW #61)     1,.,AI,SWD-july2018,.,Pettigrew Pumping Service,14172,0,.,Pettigrew Pumping Service,11308,0,.,Pettigrew Pumping Service,8625,0,.,Pettigrew Pumping Service,9413,0,.,Pettigrew Pumping Service,5727,0,.,Pettigrew Pumping Service,7284,0,.,Pettigrew Pumping Service,9931,0,.,Pettigrew Pumping Service,9275,0,.,Pettigrew Pumping Service,10376,0,.,Pettigrew Pumping Service,9711,0,.,Pettigrew Pumping Service,13902,0,.,Pettigrew Pumping Service,9913,0,.,Pettigrew Pumping Service,6366,0,.,Pettigrew Pumping Service,8271,0,.,Pettigrew Pumping Service,6616,0,.,Pettigrew Pumping Service,15372,0,.,Pettigrew Pumping Service,11356,0,.,Pettigrew Pumping Service,11221,0,.,Pettigrew Pumping Service,4891,0,.,Pettigrew Pumping Service,5224,0,.,Pettigrew Pumping Service,3000,0,.,Pettigrew Pumping Service,3511,0,.,Pettigrew Pumping Service,4304,0,.,Pettigrew Pumping Service,3365,0,.,Pettigrew Pumping Service,3355,0,.,Pettigrew Pumping Service,3753,0,.,Pettigrew Pumping Service,2858,0,.,Pettigrew Pumping Service,3426,0,.,Pettigrew Pumping Service,8497,0,.,Pettigrew Pumping Service,7144,0,.,Pettigrew Pumping Service,7159,0,.,Pettigrew Pumping Service,7549,0,.,Pettigrew Pumping Service,8674,0,.,Pettigrew Pumping Service,6442,0,.,Pettigrew Pumping Service,7721,0,.,Pettigrew Pumping Service,4847,0,.,Pettigrew Pumping Service,0,0,.,Pettigrew Pumping Service,0,0,286013,0,286013
138,34100000000000,3407525019,Dover Atwood,HOLMES,40.55532406,-81.85695579,DOVER ATWOOD CORP.,.,.,BERLIN,WILLIS MAST UNIT(SWIW #5)     1,.,AI,SWD-july2018,.,"B & M Energy Services, LLC",472,0,.,"B & M Energy Services, LLC",8369,0,.,"B & M Energy Services, LLC",8225,0,.,"B & M Energy Services, LLC",11248,0,.,"B & M Energy Services, LLC",13042,0,.,"B & M Energy Services, LLC",18271,0,.,"B & M Energy Services, LLC",15477,0,.,"B & M Energy Services, LLC",14968,0,.,"B & M Energy Services, LLC",12117,0,.,"B & M Energy Services, LLC",16953,0,.,"B & M Energy Services, LLC",17727,0,.,"B & M Energy Services, LLC",16350,0,.,"B & M Energy Services, LLC",11755,0,.,"B & M Energy Services, LLC",15824,0,.,"B & M Energy Services, LLC",12538,0,.,"B & M Energy Services, LLC",12153,0,.,"B & M Energy Services, LLC",9216,0,.,"B & M Energy Services, LLC",12074,0,.,"B & M Energy Services, LLC",11161,0,.,"B & M Energy Services, LLC",7949,0,.,"B & M Energy Services, LLC",5660,0,.,"B & M Energy Services, LLC",3688,0,B & M Energy Services,Dover Atwood,2108,0,B & M Energy Services,Dover Atwood,2750,0,.,Dover Atwood,2218,0,B & M Energy Services,Dover Atwood,1825,0,B & M Energy Services,Dover Atwood,787,0,B & M Energy Services,Dover Atwood,898,0,B & M Energy Services,Dover Atwood,1474,0,B & M Energy Services,Dover Atwood,858,0,.,Dover Atwood,838,0,.,Dover Atwood,2195,0,.,Dover Atwood,1692,0,.,Dover Atwood,2034,0,.,Dover Atwood,2582,0,.,Dover Atwood,2753,0,.,Dover Atwood,0,0,.,Dover Atwood,0,0,306333,0,306333
139,34100000000000,3411723781,Maram Energy Co.,MORROW,40.56970085,-82.7333212,MARAM ENERGY INC,.,.,CONGRESS,ZEGER {SWIW #56}     1A,.,AI,SWD-july2018,.,Knox Brine Disposal Ltd.,0,0,.,Knox Brine Disposal Ltd.,8302,0,.,Knox Brine Disposal Ltd.,9261,0,.,Knox Brine Disposal Ltd.,11338,0,.,Knox Brine Disposal Ltd.,11439,0,.,Knox Brine Disposal Ltd.,11144,0,.,Knox Brine Disposal Ltd.,9723,0,.,Knox Brine Disposal Ltd.,9827,0,.,Knox Brine Disposal Ltd.,10872,0,.,Knox Brine Disposal Ltd.,11574,0,.,Knox Brine Disposal Ltd.,9540,0,.,Knox Brine Disposal Ltd.,10135,0,.,Knox Brine Disposal Ltd.,8577,0,.,Knox Brine Disposal Ltd.,4512,0,.,Knox Brine Disposal Ltd.,3770,0,.,Knox Brine Disposal Ltd.,3306,0,.,Knox Brine Disposal Ltd.,9835,0,.,Knox Brine Disposal Ltd.,11070,0,.,Knox Brine Disposal Ltd.,6638,0,.,Knox Brine Disposal Ltd.,6315,0,.,Knox Brine Disposal Ltd.,7490,0,.,Knox Brine Disposal Ltd.,6619,0,Knox Brine Disposal,Maram Energy Co.,5345,0,Knox Brine Disposal Ltd.,Maram Energy Co.,6370,0,Knox Brine Disposal Ltd.,Maram Energy Co,6895,0,Knox Brine Disposal Ltd.,Maram Energy Co.,8300,0,Knox Brine Disposal Ltd.,Maram Energy Co.,7490,0,Knox Brine Disposal Ltd.,Maram Energy Co.,7245,0,Knox Brine Disposal Ltd.,Maram Energy Co.,11700,0,Knox Brine Disposal Ltd.,Maram Energy Co.,8780,0,.,Maram Energy Co.,10330,0,.,Maram Energy Co.,11835,0,.,Maram Energy Co.,9360,0,.,Maram Energy Co.,8570,0,.,Maram Energy Co.,3960,0,.,Maram Energy Co.,4065,0,.,Maram Energy Co.,0,0,.,Maram Energy Co.,0,0,314410,0,314410
140,34100000000000,3411721472,"Fishburn Producing, Inc.",MORROW,40.57744863,-82.86060871,FISHBURN PRODUCING INC,.,.,GILEAD,McPEEK REX (SWIW #62)     2,.,AI,SWD-july2018,.,"Fishburn Producing, Inc.",8220,0,.,"Fishburn Producing, Inc.",21620,0,.,"Fishburn Producing, Inc.",19920,0,.,"Fishburn Producing, Inc.",20920,0,.,"Fishburn Producing, Inc.",13700,0,.,"Fishburn Producing, Inc.",27515,0,.,"Fishburn Producing, Inc.",26515,0,.,"Fishburn Producing, Inc.",17575,0,.,"Fishburn Producing, Inc.",31445,0,.,"Fishburn Producing, Inc.",32930,0,.,"Fishburn Producing, Inc.",27505,0,.,"Fishburn Producing, Inc.",45540,0,.,"Fishburn Producing, Inc.",32710,0,.,"Fishburn Producing, Inc.",24095,0,.,"Fishburn Producing, Inc.",15580,0,.,"Fishburn Producing, Inc.",19875,0,.,"Fishburn Producing, Inc.",32565,0,.,"Fishburn Producing, Inc.",25525,0,.,"Fishburn Producing, Inc.",21370,0,.,"Fishburn Producing, Inc.",27495,0,.,"Fishburn Producing, Inc.",27810,0,.,"Fishburn Producing, Inc.",24440,0,.,"Fishburn Producing, Inc.",19810,0,.,"Fishburn Producing, Inc.",19360,0,.,"Fishburn Producing, Inc.",25990,0,.,"Fishburn Producing, Inc.",26760,0,.,"Fishburn Producing, Inc.",22730,0,.,"Fishburn Producing, Inc.",24955,0,.,"Fishburn Producing, Inc.",24785,0,.,"Fishburn Producing, Inc.",26365,0,.,"Fishburn Producing, Inc.",22755,0,.,"Fishburn Producing, Inc.",31880,0,.,"Fishburn Producing, Inc.",29450,0,.,"Fishburn Producing, Inc.",23225,0,.,"Fishburn Producing, Inc.",21715,0,.,"Fishburn Producing, Inc.",27310,0,.,"Fishburn Producing, Inc.",0,0,.,"Fishburn Producing, Inc.",0,0,919360,0,919360
141,34100000000000,3411724137,"Cortland Energy Co., Inc.",MORROW,40.58692,-82.76762,WOODCOCK III GEORGE W DBA WEST DRILLING CO,MURNANE JOSEPH M,10/17/2003,CONGRESS,LOGAN,1A,.,ODNR Injection scrape,.,"Cortland Energy Co., Inc.",2400,0,.,"Cortland Energy Co., Inc.",1350,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,"Cortland Energy Co., Inc.",720,0,.,"Cortland Energy Co., Inc.",920,0,.,"Cortland Energy Co., Inc.",900,0,.,.,0,0,.,"Cortland Energy Co., Inc.",920,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,7210,0,7210
142,34000000000000,3401920325,"EnerVest Operating, LLC",CARROLL,40.60353865,-81.26599462,ENERVEST OPERATING LLC,.,.,ROSE,LINDENTREE(SWIW#7)     6,.,AI,SWD-july2018,.,"EnerVest Operating, LLC",6447,0,.,"EnerVest Operating, LLC",8160,0,.,"EnerVest Operating, LLC",5183,0,.,"EnerVest Operating, LLC",5697,0,.,"EnerVest Operating, LLC",4710,0,.,"EnerVest Operating, LLC",8031,0,.,"EnerVest Operating, LLC",4037,0,.,"EnerVest Operating, LLC",5956,0,.,"EnerVest Operating, LLC",4009,0,.,"EnerVest Operating, LLC",7747,0,.,"EnerVest Operating, LLC",2251,0,.,"EnerVest Operating, LLC",2786,0,.,"EnerVest Operating, LLC",1109,0,.,"EnerVest Operating, LLC",4489,0,.,"EnerVest Operating, LLC",4668,0,.,"EnerVest Operating, LLC",1889,0,.,"EnerVest Operating, LLC",4571,0,.,"EnerVest Operating, LLC",454,0,.,"EnerVest Operating, LLC",0,0,.,"EnerVest Operating, LLC",0,0,.,"EnerVest Operating, LLC",0,0,.,"EnerVest Operating, LLC",68,0,.,"EnerVest Operating, LLC",0,0,.,"EnerVest Operating, LLC",0,0,.,"EnerVest Operating, LLC",4491,0,.,"EnerVest Operating, LLC",6034,0,.,"EnerVest Operating, LLC",4589,0,.,"EnerVest Operating, LLC",15993,0,.,"EnerVest Operating, LLC",5806,0,.,"EnerVest Operating, LLC",8244,0,.,"EnerVest Operating, LLC",3918,0,.,"EnerVest Operating, LLC",10911,0,.,"EnerVest Operating, LLC",5857,0,.,"EnerVest Operating, LLC",11542,0,.,"EnerVest Operating, LLC",4737,0,.,"EnerVest Operating, LLC",9691,0,.,"EnerVest Operating, LLC",0,0,.,"EnerVest Operating, LLC",0,0,183495,0,183495
